rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,Group,groupVsnaive
1,101,-4.9252336781759,0,0,1.72070131938306,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
2,101,-4.57794207742641,0,0,2.15002141781632,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
3,101,-4.92866449264747,0,0,1.67049397586123,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
4,101,-4.93808194820126,0,0,1.85281198769458,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
5,101,-4.47948342066443,0,0,1.84118927466633,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
6,101,-4.52907870648384,0,0,2.00930865884482,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
7,101,-4.51147622534745,0,0,2.46718242040564,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
8,101,-4.69404563857551,0,0,1.66738721457555,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
9,101,-4.69468048790144,0,0,1.85044125873318,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
10,101,-4.54769676632558,0,0,1.94467643085791,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
1,102,-4.68262476907861,0,0,1.24491992935085,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
2,102,-5.19840492906138,0,0,1.10860548576501,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
3,102,-4.61782625867682,0,0,1.32808689326706,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
4,102,-4.73179725363071,0,0,1.3475584375089,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
5,102,-4.8249393498822,0,0,1.15098584540594,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
