rep,id,eta_beta_N_pow,eta_fact_beta_T,eta_fact_delta_T,eta_delta_N,eta_c,eta_cI,eta_k,eta_g,eta_mu,eta_P_N,eta_fact_P_T,eta_alpha_VLSG,eta_thresh_Weight,Group,groupVsnaive
1,101,0.299989917504481,0,0,0.054443004825504,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,101,0.647281518253973,0,0,0.277188857142695,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,101,0.29655910303291,0,0,0.0248304298968515,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,101,0.287141647479115,0,0,0.128415531695731,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,101,0.745740175015954,0,0,0.122122761035037,0,0,0,0,0,0,0,0,0,Naive,G_Naive
6,101,0.696144889196541,0,0,0.209501765360569,0,0,0,0,0,0,0,0,0,Naive,G_Naive
7,101,0.713747370332932,0,0,0.414787832317227,0,0,0,0,0,0,0,0,0,Naive,G_Naive
8,101,0.531177957104868,0,0,0.0229689123618842,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,101,0.530543107778938,0,0,0.127135182161139,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,101,0.6775268293548,0,0,0.176806657052763,0,0,0,0,0,0,0,0,0,Naive,G_Naive
1,102,0.54259882660177,0,0,-0.269217732648257,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,102,0.0268186666190022,0,0,-0.385186040359137,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,102,0.607397337003557,0,0,-0.204549466131604,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,102,0.493426342049664,0,0,-0.189994556508068,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,102,0.400284245798181,0,0,-0.347670114707219,0,0,0,0,0,0,0,0,0,Naive,G_Naive
6,102,0.313099054528679,0,0,-0.381183459977866,0,0,0,0,0,0,0,0,0,Naive,G_Naive
7,102,0.591371673561937,0,0,-0.522854368645211,0,0,0,0,0,0,0,0,0,Naive,G_Naive
8,102,0.315673430034951,0,0,-0.401220860454732,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,102,0.261759671576222,0,0,-0.280142934202075,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,102,0.0643341497563978,0,0,-0.354436765560014,0,0,0,0,0,0,0,0,0,Naive,G_Naive
1,103,-0.205722223399497,0,0,0.124450181648405,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,103,-0.159397414921875,0,0,0.226475107228327,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,103,-0.173889292511221,0,0,0.14118604083417,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,103,-0.549685872949235,0,0,0.0423604246457698,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,103,-0.166802633432475,0,0,0.125451076612615,0,0,0,0,0,0,0,0,0,Naive,G_Naive
6,103,-0.294239223012968,0,0,0.0254737177387014,0,0,0,0,0,0,0,0,0,Naive,G_Naive
7,103,-0.145656855967205,0,0,0.354297049663844,0,0,0,0,0,0,0,0,0,Naive,G_Naive
8,103,0.0282607183677776,0,0,0.381589167167684,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,103,0.118032468311739,0,0,0.199420962995142,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,103,-0.133325166602598,0,0,0.134951346533655,0,0,0,0,0,0,0,0,0,Naive,G_Naive
1,104,-0.0107934628859975,0,0,-0.0593902543396038,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,104,-0.14105280503317,0,0,-0.337504560300906,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,104,-0.264645700989133,0,0,-0.123903298372301,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,104,-0.496574223906188,0,0,-0.262906011694998,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,104,0.13913028306211,0,0,-0.103487684512059,0,0,0,0,0,0,0,0,0,Naive,G_Naive
