time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode
0,101,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8
1,101,21.0717,384.924,2335.64,615.312,614765,13.5125,14928.3,822.982,2589.34,5697.54,6.12171e+6,0.818706,23.0248,385.071,2317.68,605.566,605032,13.5111,15043.2,805.316,2533.61,5564.88,5.97639e+6,0.818628,29.0917,385.454,2307.46,603.438,602921,13.5115,15328.7,767.861,2429.66,5359.88,5.74713e+6,0.818658
2,101,20.9152,19.2032,549.129,224.001,223820,2.67623e-8,13772.2,353.611,1177.22,3181.89,3.51244e+6,1.62107e-9,22.8595,19.2126,539.485,218.866,218692,2.67819e-8,13926,341.664,1136.86,3072.9,3.39186e+6,1.62226e-9,28.8922,19.2401,534.249,217.319,217156,2.67727e-8,14278,321.484,1075.83,2927.37,3.22696e+6,1.62173e-9
3,101,20.8707,0.966037,107.128,50.7751,50736.4,2.40667e-16,13234.3,159.127,533.345,1471.98,1.6285e+6,1.462e-17,22.8129,0.966958,104.037,49.147,49110.5,-1.93699e-16,13410.9,152.23,509.135,1404.52,1.55423e+6,-1.16935e-17,28.8362,0.970414,102.377,48.5528,48519.4,3.67076e-16,13797,142.028,476.534,1322.18,1.46182e+6,2.22743e-17
4,101,20.8612,0.0501413,20.0424,10.0301,10022.7,-7.28491e-23,12995.5,70.7542,239.418,665.664,735633,-4.4255e-24,22.8031,0.0502592,19.2257,9.60249,9595.63,5.54413e-23,13184.4,67.0216,226.14,628.185,694464,3.34704e-24,28.8244,0.0508419,18.7913,9.42963,9423.48,-1.02141e-22,13587.3,61.9992,209.656,585.343,646648,-6.19805e-24
6,101,20.8591,0.000216785,0.68458,0.351476,351.224,-2.93351e-33,12842.4,13.9569,47.5348,132.846,146656,-1.78202e-34,22.8008,0.000218313,0.640204,0.328384,328.156,-8.46487e-34,13041,12.9642,44.0047,122.828,135656,-5.11e-35,28.8218,0.000236644,0.617056,0.318183,317.983,3.95e-33,13456,11.7925,40.0891,112.407,124075,2.39681e-34
9,101,20.859,6.44437e-7,0.00429084,0.00220959,2.20801,-2.53821e-47,12808,1.2219,4.16766,11.6611,12870.1,-1.54194e-48,22.8008,6.30363e-7,0.00386126,0.00198691,1.98554,-8.33263e-48,13009.6,1.1023,3.74644,10.4684,11559.2,-5.03029e-49,28.8217,7.27119e-7,0.00364375,0.00188511,1.88394,4.55927e-47,13427.7,0.977814,3.3279,9.33999,10307.5,2.76655e-48
14,101,20.859,1.34226e-10,9.13719e-7,4.70566e-7,0.000470229,-7.58308e-77,12804.8,0.021088,0.0719366,0.201301,222.167,-4.60514e-78,22.8008,1.23079e-10,7.71143e-7,3.96851e-7,0.000396577,-4.40658e-78,13006.7,0.0181199,0.0615924,0.17212,190.05,-2.65809e-79,28.8217,1.3748e-10,7.02474e-7,3.63466e-7,0.00036324,-1.401e-77,13425.2,0.0154156,0.052471,0.147276,162.529,-8.5085e-79
20,101,20.859,5.26741e-15,3.58582e-11,1.8467e-11,1.84538e-8,-9.89584e-108,12804.8,0.000161593,0.000551236,0.00154254,1.70242,-6.00863e-109,22.8008,4.473e-15,2.80262e-11,1.44231e-11,1.44131e-8,-1.30557e-108,13006.6,0.000130972,0.000445194,0.0012441,1.3737,-7.87516e-110,28.8217,4.78918e-15,2.44717e-11,1.26619e-11,1.2654e-8,-7.29163e-108,13425.2,0.000105975,0.000360712,0.00101245,1.11731,-4.42824e-109
0,102,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8
1,102,18.8837,576.117,4650.03,1120.92,1.11988e+6,20.2667,20396.4,1212.32,4608.7,9424.49,1.00882e+7,1.12561,14.8466,575.535,4666.86,1112.26,1.11121e+6,20.2668,20031,1261.41,4778.18,9687.91,1.03839e+7,1.12561,23.2794,576.634,4602.84,1101.06,1.10005e+6,20.2672,20736.2,1160.65,4425.93,9050.19,9.67714e+6,1.12564
2,102,18.6764,28.7382,1593.61,542.364,541880,4.2832e-8,18297,659.153,2782.45,6815.93,7.44082e+6,2.3783e-9,14.6786,28.6988,1606.92,540.015,539522,4.28311e-8,17832.7,689.837,2908.14,7059.04,7.71353e+6,2.37822e-9,23.0375,28.773,1556.24,527.304,526845,4.28542e-8,18760.2,620.281,2622.66,6436.77,7.02393e+6,2.37955e-9
3,102,18.5964,1.45046,476.882,176.944,176789,1.24237e-16,17065.6,375.082,1634.93,4105.29,4.47456e+6,6.89695e-18,14.6135,1.44488,483.47,177.011,176853,1.24319e-16,16542.2,393.114,1717.72,4279.72,4.66678e+6,6.90141e-18,22.9452,1.45513,458.641,169.736,169592,1.2398e-16,17612.3,349.177,1517.4,3812.18,4.1559e+6,6.88275e-18
4,102,18.5715,0.0781741,139.77,52.9666,52920.7,3.5472e-25,16376.1,210.113,940.37,2390.73,2.59818e+6,1.96881e-26,14.5932,0.0768157,142.498,53.2703,53222.8,3.5467e-25,15819,220.416,991.169,2502.85,2.72047e+6,1.9685e-26,22.9169,0.0792041,132.312,50.0489,50006.9,3.5469e-25,16976,193.668,861.569,2188.92,2.38014e+6,1.96866e-26
6,102,18.562,0.000794139,11.9162,4.54212,4538.19,-3.75984e-40,15776.4,65.4276,300.142,771.914,836504,-2.0865e-41,14.5854,0.000686858,12.2872,4.6197,4615.59,-3.69088e-40,15189.4,68.7176,317.446,811.681,879518,-2.04819e-41,22.9063,0.000857757,10.9251,4.1581,4154.63,-8.49648e-43,16429.5,59.1922,269.07,690.657,749099,-4.71426e-44
9,102,18.5611,1.54076e-5,0.296265,0.112958,112.86,5.87573e-56,15552.9,11.3199,52.426,135.432,146605,3.25999e-57,14.5847,1.29583e-5,0.310734,0.116859,116.755,3.20905e-56,14954.5,11.9069,55.5823,142.808,154560,1.78036e-57,22.9053,1.61921e-5,0.258872,0.098555,98.4726,3.02785e-58,16230,9.96679,45.6752,117.694,127534,1.6797e-59
14,102,18.5611,3.25844e-8,0.000627425,0.00023922,0.239013,-6.62394e-82,15508.7,0.6071,2.81704,7.28372,7882.93,-3.67484e-83,14.5846,2.81858e-8,0.000677007,0.000254604,0.254378,-3.32859e-82,14907.9,0.640144,2.99451,7.70129,8333.09,-1.84625e-83,22.9053,3.16078e-8,0.000506002,0.00019264,0.192479,-6.28899e-84,16191.7,0.51105,2.3457,6.04885,6553.34,-3.48767e-85
20,102,18.5611,2.01451e-11,3.87901e-7,1.47896e-7,0.000147768,-1.6879e-118,15506.3,0.0181328,0.0841481,0.217583,235.48,-9.36294e-120,14.5846,1.8029e-11,4.33046e-7,1.62857e-7,0.000162712,-4.87919e-118,14905.4,0.0191758,0.0897123,0.230735,249.66,-2.70682e-119,22.9053,1.77497e-11,2.8415e-7,1.08179e-7,0.000108089,4.32952e-120,16189.7,0.0144637,0.0663932,0.171215,185.493,2.40205e-121
0,103,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8
1,103,2137.78,300.551,1445.45,393.794,394347,13.511,20997,125.804,480.35,1235.83,1.26324e+6,0.818791,2414.24,286.243,1414.28,377.183,377725,13.5111,21164,111.954,446.034,1136.25,1.15897e+6,0.818803,2185.86,298.086,1483.8,395.412,395966,13.511,21027,123.536,487.942,1236.59,1.26339e+6,0.818793
2,103,2135.71,15.4612,272.753,124.199,124619,2.65599e-8,20930.1,22.9433,120.5,454.25,471886,1.60945e-9,2412.19,14.7462,277.5,122.419,122837,2.6538e-8,21107.5,19.6836,113.133,423.727,438587,1.60815e-9,2183.75,15.353,293.058,128.847,129277,2.65578e-8,20960.4,22.8758,126.742,467.788,485424,1.60933e-9
3,103,2135.21,0.876445,40.9363,22.9343,23045,1.89204e-13,20910,5.76801,29.1176,116.79,122194,1.14653e-14,2411.68,0.843653,43.5439,23.4024,23515.3,5.28051e-14,21090.4,4.92465,27.3444,109.462,114054,3.19987e-15,2183.22,0.878243,46.3551,24.7807,24897.5,5.30158e-14,20939.8,5.91439,31.5895,123.93,129478,3.2126e-15
4,103,2135.13,0.0611287,5.77751,3.55078,3571.36,6.2068e-19,20905,1.43754,7.15616,28.826,30221.3,3.76124e-20,2411.59,0.0606466,6.44782,3.77288,3794.51,9.8877e-20,21086.1,1.22753,6.71126,27.0172,28205.6,5.99184e-21,2183.13,0.0632459,6.92411,4.02445,4046.98,8.22172e-20,20934.5,1.51785,7.9957,31.5081,32981.2,4.98224e-21
6,103,2135.11,0.000645899,0.109966,0.0717125,72.1944,-1.20756e-27,20903.4,0.0876141,0.435508,1.7531,1838.84,-7.31768e-29,2411.58,0.000719817,0.135717,0.0836086,84.1569,-2.57174e-28,21084.8,0.0747031,0.407576,1.63983,1712.79,-1.55845e-29,2183.11,0.000761571,0.148419,0.0907016,91.2809,-1.43487e-28,20932.8,0.0980953,0.515935,2.03194,2127.88,-8.69512e-30
9,103,2135.11,1.51539e-6,0.00028375,0.000187255,0.188571,-1.05695e-45,20903.3,0.00131565,0.00654003,0.026326,27.614,-6.40483e-47,2411.58,1.99341e-6,0.000408358,0.000253922,0.255649,-2.73691e-47,21084.7,0.00111847,0.00610262,0.0245525,25.6453,-1.65858e-48,2183.11,2.1692e-6,0.000459136,0.000283097,0.28497,-1.55271e-47,20932.7,0.0016083,0.00845925,0.0333151,34.8885,-9.40928e-49
14,103,2135.11,7.3235e-11,1.3749e-8,9.08031e-9,9.14438e-6,-2.26068e-77,20903.3,1.20266e-6,5.97838e-6,2.40652e-5,0.0252425,-1.36973e-78,2411.58,1.24586e-10,2.55738e-8,1.59103e-8,1.60188e-5,-2.41466e-78,21084.7,1.01741e-6,5.55122e-6,2.2334e-5,0.0233281,-1.46306e-79,2183.11,1.4199e-10,3.01143e-8,1.8577e-8,1.87002e-5,-2.32963e-77,20932.7,1.70196e-6,8.95187e-6,3.52552e-5,0.0369202,-1.4116e-78
20,103,2135.11,4.88094e-16,9.16331e-14,6.05179e-14,6.09449e-11,-1.07109e-110,20903.3,2.71408e-10,1.34916e-9,5.43085e-9,5.69656e-6,-6.48788e-112,2411.58,1.12848e-15,2.31643e-13,1.44113e-13,1.45096e-10,-8.134e-110,21084.7,2.2822e-10,1.24521e-9,5.00982e-9,5.23281e-6,-4.92775e-111,2183.11,1.35692e-15,2.87784e-13,1.77529e-13,1.78707e-10,2.8785e-109,20932.7,4.57528e-10,2.40648e-9,9.47745e-9,9.92505e-6,1.74399e-110
0,104,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8
1,104,2124.77,504.956,3599.54,870.193,871050,20.2681,28334,229.939,1168.36,2655.73,2.72184e+6,1.1259,2263.84,498.246,3579.7,853.396,854274,20.2682,28445.3,219.286,1133.71,2561.11,2.6225e+6,1.12592,2007.35,510.533,3640.06,871.447,872266,20.2676,28235.3,239.119,1206.6,2725.04,2.79505e+6,1.12588
2,104,2120.11,26.3651,1136.71,400.228,401137,4.32723e-8,28132.7,66.3733,481.029,1444.96,1.50181e+6,2.4036e-9,2259.13,26.0457,1145.27,396.581,397509,4.33023e-8,28257.4,62.2389,467.883,1398.79,1.45184e+6,2.40528e-9,2002.79,26.6149,1147.42,400.129,401008,4.3237e-8,28022.3,70.0363,498.855,1486.01,1.54621e+6,2.40162e-9
3,104,2118.41,1.7181,308.1,119.997,120348,9.33764e-17,28041.2,26.8718,191.056,592.333,618187,5.18622e-18,2257.4,1.7119,314.952,120.419,120780,8.02391e-17,28171.8,25.1602,185.803,573.821,597997,4.45658e-18,2001.14,1.72065,310.413,119.764,120104,7.99196e-17,27925.3,28.5264,199.257,612.141,639615,4.43875e-18
4,104,2117.93,0.198433,81.4409,32.5818,32685.4,2.70388e-25,28004.4,10.7863,76.3016,236.998,247516,1.50172e-26,2256.91,0.202411,84.5154,33.1646,33272.4,1.8476e-25,28137.4,10.0982,74.1747,229.533,239372,1.02613e-26,2000.67,0.195604,81.8913,32.4582,32558.4,2.30348e-25,27886,11.5124,80.0288,246.293,257527,1.27932e-26
6,104,2117.77,0.00992745,5.63453,2.27284,2280.33,4.3562e-38,27983.8,1.72258,12.1867,37.857,39539.9,2.4177e-39,2256.73,0.0105676,6.02829,2.38417,2392.19,2.7888e-36,28118.1,1.61173,11.8389,36.6391,38212.6,1.54884e-37,2000.51,0.00964054,5.64312,2.25532,2262.54,5.48289e-38,27863.9,1.85907,12.9259,39.7854,41602.8,3.04369e-39
9,104,2117.75,0.000178048,0.102358,0.041307,41.4436,-3.89488e-54,27980.2,0.109907,0.777646,2.41581,2523.19,-2.16173e-55,2256.72,0.000198608,0.114648,0.0453615,45.5145,-2.22665e-52,28114.7,0.102735,0.754714,2.3358,2436.09,-1.23667e-53,2000.5,0.000171761,0.1019,0.0407435,40.8743,-4.71232e-54,27859.9,0.120618,0.838748,2.58177,2699.68,-2.616e-55
14,104,2117.75,2.23481e-7,0.000128486,5.18512e-5,0.0520226,4.62315e-80,27979.9,0.00111982,0.00792329,0.0246143,25.7084,2.56596e-81,2256.72,2.69084e-7,0.00015534,6.14618e-5,0.0616691,-2.89765e-78,28114.4,0.00104504,0.00767716,0.0237605,24.7807,-1.60915e-79,2000.5,2.13441e-7,0.000126636,5.06343e-5,0.0507969,5.79008e-80,27859.6,0.00126373,0.0087877,0.0270497,28.2851,3.21433e-81
20,104,2117.75,7.37652e-11,4.24097e-8,1.71147e-8,1.71713e-5,4.14617e-114,27979.9,4.55952e-6,3.2261e-5,0.000100221,0.104676,2.30134e-115,2256.72,9.73454e-11,5.61966e-8,2.22348e-8,2.23098e-5,2.85069e-112,28114.4,4.24678e-6,3.11981e-5,9.65566e-5,0.100703,1.58313e-113,2000.5,6.96099e-11,4.13002e-8,1.65135e-8,1.65665e-5,4.23302e-114,27859.6,5.32071e-6,3.69991e-5,0.000113888,0.11909,2.35006e-115
0,105,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8
1,105,2669.37,478.074,2486.21,662.324,663164,20.2668,28747.9,184.883,746.229,1872.72,1.91567e+6,1.12585,2627.92,480.118,2476.26,654.671,655497,20.2676,28721.6,186.818,747.909,1871.14,1.91458e+6,1.12589,2421.74,490.31,2554.65,674.046,674855,20.2666,28579.5,199.483,796.707,1983.07,2.03146e+6,1.12583
2,105,2665.97,24.6343,516.758,223.564,224247,4.33329e-8,28638.7,36.8936,206.15,741.096,770248,2.40702e-9,2624.58,24.7183,508.809,219.142,219810,4.33764e-8,28611.7,37.1074,204.783,734.977,764276,2.40943e-9,2418.38,25.2309,530.613,227.273,227938,4.32912e-8,28456.5,41.1639,222.988,790.36,823279,2.40468e-9
3,105,2665.08,1.41934,86.7731,45.0461,45238.8,2.18018e-13,28603.3,10.1765,54.8747,208.263,217874,1.21104e-14,2623.72,1.41757,84.3157,43.6965,43883.8,-4.36704e-17,28576.4,10.1586,54.0687,204.921,214514,-2.42597e-18,2417.51,1.44601,89.0573,45.7709,45959.2,1.84921e-13,28416.3,11.5675,60.4166,225.347,236309,1.02718e-14
4,105,2664.91,0.105463,13.8243,7.72962,7768.5,-7.19763e-20,28593.5,2.77993,14.8129,56.4147,59118.2,-3.99784e-21,2623.56,0.103928,13.2429,7.40676,7444.17,-1.20201e-23,28566.8,2.75355,14.4816,55.075,57753.3,-6.67807e-25,2417.35,0.106226,14.1809,7.85045,7888.45,-1.25597e-21,28405,3.2132,16.6005,62.0977,65227.2,-6.94886e-23
6,105,2664.88,0.00146042,0.338951,0.197513,198.629,-8.50111e-30,28590.2,0.203988,1.08571,4.13294,4332.55,-4.72171e-31,2623.53,0.00137992,0.315199,0.184067,185.115,-6.56799e-34,28563.5,0.198927,1.04501,3.97235,4167.06,-3.6488e-35,2417.32,0.00144185,0.347294,0.200391,201.482,-1.14257e-31,28401.1,0.244094,1.25993,4.71093,4950.02,-6.32126e-33
9,105,2664.88,5.15717e-6,0.00128646,0.000754469,0.758848,2.32785e-49,28589.9,0.0040483,0.0215474,0.0820236,85.9858,1.29301e-50,2623.53,4.6363e-6,0.00114349,0.000672394,0.676335,1.34649e-53,28563.2,0.00385666,0.0202606,0.0770153,80.7911,7.48142e-55,2417.31,5.06178e-6,0.00131572,0.000764099,0.768373,4.62261e-51,28400.8,0.0051042,0.026347,0.0985122,103.513,2.55753e-52
14,105,2664.88,4.75039e-10,1.18682e-7,6.96229e-8,7.00278e-5,-1.10169e-77,28589.9,5.88957e-6,3.13476e-5,0.00011933,0.125094,-6.11897e-79,2623.53,3.95982e-10,9.78326e-8,5.7546e-8,5.78841e-5,-6.90607e-82,28563.2,5.3964e-6,2.83495e-5,0.000107763,0.113046,-3.83698e-83,2417.31,4.64756e-10,1.21009e-7,7.02953e-8,7.06893e-5,3.79133e-79,28400.8,8.10164e-6,4.18193e-5,0.000156363,0.164301,2.09756e-80
20,105,2664.88,6.83173e-15,1.70681e-12,1.00128e-12,1.0071e-9,-1.09738e-111,28589.9,2.3197e-9,1.23468e-8,4.70001e-8,4.92705e-5,-6.09447e-113,2623.53,5.20756e-15,1.28659e-12,7.56788e-13,7.61233e-10,8.74103e-116,28563.2,2.02882e-9,1.06583e-8,4.05145e-8,4.25008e-5,4.85604e-117,2417.31,6.6609e-15,1.7343e-12,1.00748e-12,1.01312e-9,-2.32584e-113,28400.8,3.54275e-9,1.8287e-8,6.83758e-8,7.18466e-5,-1.28665e-114
