beta_N_pow_pop,1,-0.54318,-0.33909,0.10888,-0.21266,0.1299,-0.6252,0.32518,-0.1857,0.39384,-0.092179,-0.24033,0.16965,-0.27269
beta_beta_N_pow_groupVsnaive_G_conv,-0.54318,1,0.15046,-0.22932,0.75326,-0.18525,0.22447,-0.25364,0.12319,-0.44385,0.13177,0.053331,-0.14057,0.091173
beta_beta_N_pow_groupVsnaive_G_convCD40,-0.33909,0.15046,1,-0.053871,-0.047456,0.53722,0.042581,-0.19616,-0.077283,0.19321,0.0047864,-0.055022,-0.04335,-0.05077
delta_N_pop,0.10888,-0.22932,-0.053871,1,-0.47149,-0.034735,0.32638,0.1442,-0.16162,0.36498,0.10667,0.15333,0.016197,0.10569
beta_delta_N_groupVsnaive_G_conv,-0.21266,0.75326,-0.047456,-0.47149,1,-0.13884,0.02473,-0.10541,0.16879,-0.47831,0.11121,0.093209,-0.084297,0.025261
beta_delta_N_groupVsnaive_G_convCD40,0.1299,-0.18525,0.53722,-0.034735,-0.13884,1,-0.09561,0.11047,-0.088771,0.51942,0.07348,-0.063495,0.08032,-0.049312
P_N_pop,-0.6252,0.22447,0.042581,0.32638,0.02473,-0.09561,1,-0.3684,0.14273,-0.23173,0.18433,0.37752,-0.22093,0.32514
fact_P_T_pop,0.32518,-0.25364,-0.19616,0.1442,-0.10541,0.11047,-0.3684,1,-0.037941,0.2221,-0.13564,0.012371,0.17457,-0.029468
omega_beta_N_pow,-0.1857,0.12319,-0.077283,-0.16162,0.16879,-0.088771,0.14273,-0.037941,1,-0.26509,0.018915,0.1009,-0.076887,0.092331
omega_delta_N,0.39384,-0.44385,0.19321,0.36498,-0.47831,0.51942,-0.23173,0.2221,-0.26509,1,-0.14013,-0.16185,0.13222,-0.07313
a1,-0.092179,0.13177,0.0047864,0.10667,0.11121,0.07348,0.18433,-0.13564,0.018915,-0.14013,1,0.10711,-0.029769,0.051153
a2,-0.24033,0.053331,-0.055022,0.15333,0.093209,-0.063495,0.37752,0.012371,0.1009,-0.16185,0.10711,1,-0.048706,0.17011
a3,0.16965,-0.14057,-0.04335,0.016197,-0.084297,0.08032,-0.22093,0.17457,-0.076887,0.13222,-0.029769,-0.048706,1,-0.043163
a4,-0.27269,0.091173,-0.05077,0.10569,0.025261,-0.049312,0.32514,-0.029468,0.092331,-0.07313,0.051153,0.17011,-0.043163,1
