rep,id,eta_beta_N_pow,eta_fact_beta_T,eta_fact_delta_T,eta_delta_N,eta_c,eta_cI,eta_k,eta_g,eta_mu,eta_P_N,eta_fact_P_T,eta_alpha_VLSG,eta_thresh_Weight,Group,groupVsnaive
1,101,0.536491319286692,0,0,0.136244304845023,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,101,0.66121500995725,0,0,0.327889181607001,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,101,0.609858139064365,0,0,0.202769884671465,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,101,0.300701328878176,0,0,0.0988292838900952,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,101,0.626030100045783,0,0,0.155591520196446,0,0,0,0,0,0,0,0,0,Naive,G_Naive
6,101,0.961939115434937,0,0,0.320062178079103,0,0,0,0,0,0,0,0,0,Naive,G_Naive
7,101,0.670690649305002,0,0,0.306380787901909,0,0,0,0,0,0,0,0,0,Naive,G_Naive
8,101,0.507001579469556,0,0,0.260868739523751,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,101,0.558347710880732,0,0,0.10641207929313,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,101,0.415436412429352,0,0,0.0587282982978428,0,0,0,0,0,0,0,0,0,Naive,G_Naive
1,102,0.606529521000253,0,0,-0.251503850853379,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,102,0.0287598714457728,0,0,-0.320362623015871,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,102,0.639424287007374,0,0,-0.171316917108929,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,102,0.51390341238823,0,0,-0.154249771269623,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,102,0.291082686456958,0,0,-0.372545735754595,0,0,0,0,0,0,0,0,0,Naive,G_Naive
6,102,0.331942675120699,0,0,-0.106209668723492,0,0,0,0,0,0,0,0,0,Naive,G_Naive
7,102,0.618387566234867,0,0,-0.348549315468717,0,0,0,0,0,0,0,0,0,Naive,G_Naive
8,102,0.240726374781551,0,0,-0.376229707840257,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,102,0.278107544726405,0,0,-0.239297346704112,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,102,0.142707599013658,0,0,-0.0610000307687997,0,0,0,0,0,0,0,0,0,Naive,G_Naive
1,103,-0.29624055898833,0,0,0.194183261936494,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,103,-0.176325247180221,0,0,0.344038889936262,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,103,-0.183592710490621,0,0,0.117191893699901,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,103,-0.575643509297042,0,0,0.0355222106444222,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,103,-0.175597831033771,0,0,0.102610418813838,0,0,0,0,0,0,0,0,0,Naive,G_Naive
6,103,-0.301696987408583,0,0,0.0114759178361079,0,0,0,0,0,0,0,0,0,Naive,G_Naive
7,103,-0.153051924514327,0,0,0.290752476538207,0,0,0,0,0,0,0,0,0,Naive,G_Naive
8,103,-0.0258675435816441,0,0,0.323471302157001,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,103,0.124169037808288,0,0,0.164097579437251,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,103,-0.0172102200220585,0,0,0.107066666010353,0,0,0,0,0,0,0,0,0,Naive,G_Naive
1,104,-0.0113625824312415,0,0,-0.0497412947205149,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,104,-0.291471579593775,0,0,-0.160996049032117,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,104,-0.278599984483554,0,0,-0.103773094587856,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,104,-0.0331647719415874,0,0,-0.21425542615464,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,104,-0.101960436391596,0,0,-0.0163418979359423,0,0,0,0,0,0,0,0,0,Naive,G_Naive
6,104,-0.329931151066304,0,0,-0.0881335718760131,0,0,0,0,0,0,0,0,0,Naive,G_Naive
7,104,-0.409061192310435,0,0,-0.188720038356049,0,0,0,0,0,0,0,0,0,Naive,G_Naive
8,104,-0.586887858994972,0,0,-0.075882880068654,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,104,-0.105510965735319,0,0,-0.0232994468171193,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,104,0.141749928907449,0,0,-0.0678028428317746,0,0,0,0,0,0,0,0,0,Naive,G_Naive
1,105,-0.0720574032894713,0,0,0.277000552885482,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,105,-0.22611933216534,0,0,0.018214985125515,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,105,-0.438968944071586,0,0,0.19872977533292,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,105,-0.447274595547609,0,0,0.0728162462986703,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,105,-0.405977849188984,0,0,0.138588329225941,0,0,0,0,0,0,0,0,0,Naive,G_Naive
6,105,-0.275702198265677,0,0,0.232414749177756,0,0,0,0,0,0,0,0,0,Naive,G_Naive
7,105,-0.54752750753475,0,0,0.186282473480344,0,0,0,0,0,0,0,0,0,Naive,G_Naive
8,105,-0.564738879786272,0,0,0.0873525508567939,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,105,-0.278204309669169,0,0,0.195146766525765,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,105,-0.422493579823865,0,0,0.0826898741259785,0,0,0,0,0,0,0,0,0,Naive,G_Naive
1,106,-0.334971033667214,0,0,-0.20208499570403,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,106,-0.206764242231752,0,0,-0.239122891783592,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,106,-0.0475272181378633,0,0,-0.081730473345601,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,106,-0.219361465224482,0,0,-0.273839230591962,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,106,0.0709512017019722,0,0,0.0587714597223619,0,0,0,0,0,0,0,0,0,Naive,G_Naive
6,106,0.107059884716611,0,0,-0.014651921999626,0,0,0,0,0,0,0,0,0,Naive,G_Naive
7,106,0.180327169108668,0,0,0.00594646915407132,0,0,0,0,0,0,0,0,0,Naive,G_Naive
8,106,0.0435707284502542,0,0,0.033850510248188,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,106,0.171984143947374,0,0,0.0273004821377474,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,106,-0.145424906160789,0,0,-0.212935910190233,0,0,0,0,0,0,0,0,0,Naive,G_Naive
