parameter,value,se_sa,rse_sa
beta_N_pow_pop,-5.24204487579301,0.234723385976028,4.4777065350956
beta_beta_N_pow_groupVsnaive_G_conv,-1.71775955292954,0.426632098503267,24.8365434950235
beta_beta_N_pow_groupVsnaive_G_convCD40,-2.53420372309097,0.348943958088791,13.7693727978264
fact_beta_T_pop,0,,
fact_delta_T_pop,0,,
delta_N_pop,1.48937198149189,0.190262028366514,12.7746480215057
beta_delta_N_groupVsnaive_G_conv,0.160053066328568,0.310415042358407,193.945076766706
beta_delta_N_groupVsnaive_G_convCD40,0.32729146433358,0.318499493165539,97.3137181606791
c_pop,3,,
cI_pop,20,,
k_pop,3,,
g_pop,0,,
mu_pop,0.001,,
P_N_pop,6410.49526084019,2650.45898631096,41.3456196200912
fact_P_T_pop,-2.3256018409536,0.402884242657682,17.3238701295696
alpha_VLSG_pop,1.33,,
thresh_Weight_pop,4.5,,
omega_beta_N_pow,0.314650240998428,0.09855247129205,31.3212762778537
omega_delta_N,0.169267261161653,0.127456844527292,75.299171057992
a1,1.06951641867934,0.111460027474477,10.4215349598943
a2,1.07566846157956,0.170616551144854,15.861444045158
a3,1.21286938390762,0.10960604588986,9.03692082132801
a4,1.30708384804721,0.186449164320606,14.2645144455852
