id,beta_N_pow_SAEM,fact_beta_T_SAEM,fact_delta_T_SAEM,delta_N_SAEM,c_SAEM,cI_SAEM,k_SAEM,g_SAEM,mu_SAEM,P_N_SAEM,fact_P_T_SAEM,alpha_VLSG_SAEM,thresh_Weight_SAEM,beta_N_pow_mean,fact_beta_T_mean,fact_delta_T_mean,delta_N_mean,c_mean,cI_mean,k_mean,g_mean,mu_mean,P_N_mean,fact_P_T_mean,alpha_VLSG_mean,thresh_Weight_mean,beta_N_pow_mode,fact_beta_T_mode,fact_delta_T_mode,delta_N_mode,c_mode,cI_mode,k_mode,g_mode,mu_mode,P_N_mode,fact_P_T_mode,alpha_VLSG_mode,thresh_Weight_mode,beta_N_pow_sd,fact_beta_T_sd,fact_delta_T_sd,delta_N_sd,c_sd,cI_sd,k_sd,g_sd,mu_sd,P_N_sd,fact_P_T_sd,alpha_VLSG_sd,thresh_Weight_sd,Group,groupVsnaive
101,-4.79746,0,0,1.40014,3,20,3,0,0.001,7083.15,-2.54729,1.33,4.5,-4.80812,0,0,1.37296,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,-4.94858,0,0,1.38457,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,0.307396,0,0,0.12685,0,0,0,0,0,0,0,0,0,Naive,G_Naive
102,-4.83895,0,0,1.18979,3,20,3,0,0.001,7083.15,-2.54729,1.33,4.5,-4.85473,0,0,1.19157,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,-4.89198,0,0,1.21366,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,0.191795,0,0,0.101786,0,0,0,0,0,0,0,0,0,Naive,G_Naive
103,-6.04109,0,0,1.36505,3,20,3,0,0.001,7083.15,-2.54729,1.33,4.5,-6.03834,0,0,1.35441,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,-6.05959,0,0,1.32545,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,0.272555,0,0,0.154544,0,0,0,0,0,0,0,0,0,Naive,G_Naive
104,-5.74625,0,0,1.20058,3,20,3,0,0.001,7083.15,-2.54729,1.33,4.5,-5.71363,0,0,1.19837,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,-5.71279,0,0,1.20102,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,0.210887,0,0,0.107498,0,0,0,0,0,0,0,0,0,Naive,G_Naive
105,-6.2906,0,0,1.27659,3,20,3,0,0.001,7083.15,-2.54729,1.33,4.5,-6.27493,0,0,1.27935,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,-6.29394,0,0,1.26551,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,0.283465,0,0,0.142749,0,0,0,0,0,0,0,0,0,Naive,G_Naive
106,-5.58007,0,0,1.23517,3,20,3,0,0.001,7083.15,-2.54729,1.33,4.5,-5.54802,0,0,1.23202,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,-5.54914,0,0,1.24243,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,0.273438,0,0,0.117324,0,0,0,0,0,0,0,0,0,Naive,G_Naive
201,-6.23511,0,0,1.95182,3,20,3,0,0.001,7083.15,-2.54729,1.33,4.5,-6.18725,0,0,1.99345,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,-6.20843,0,0,1.96382,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,0.26514,0,0,0.208368,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
202,-6.91485,0,0,2.1116,3,20,3,0,0.001,7083.15,-2.54729,1.33,4.5,-6.96619,0,0,2.06639,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,-6.91892,0,0,2.0784,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,0.319171,0,0,0.23466,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
203,-6.68545,0,0,2.0781,3,20,3,0,0.001,7083.15,-2.54729,1.33,4.5,-6.70304,0,0,2.04854,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,-6.6748,0,0,2.0502,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,0.306359,0,0,0.205978,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
204,-6.73067,0,0,2.05964,3,20,3,0,0.001,7083.15,-2.54729,1.33,4.5,-6.73801,0,0,2.02821,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,-6.72452,0,0,2.02422,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,0.31514,0,0,0.188821,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
205,-6.78934,0,0,1.97468,3,20,3,0,0.001,7083.15,-2.54729,1.33,4.5,-6.74899,0,0,1.99201,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,-6.75463,0,0,1.97722,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,0.330279,0,0,0.194503,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
206,-7.00497,0,0,2.15478,3,20,3,0,0.001,7083.15,-2.54729,1.33,4.5,-6.941,0,0,2.15524,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,-6.9824,0,0,2.13326,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,0.379651,0,0,0.234858,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
301,-6.64148,0,0,7.36038,3,20,3,0,0.001,7083.15,-2.54729,1.33,4.5,-6.64831,0,0,7.22412,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,-6.6541,0,0,7.2943,3,20,3,0,0.001,7020.5,-2.53925,1.33,4.5,0.333801,0,0,0.787883,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
