id,beta_N_pow_SAEM,fact_beta_T_SAEM,fact_delta_T_SAEM,delta_N_SAEM,c_SAEM,cI_SAEM,k_SAEM,g_SAEM,mu_SAEM,P_N_SAEM,fact_P_T_SAEM,alpha_VLSG_SAEM,thresh_Weight_SAEM,beta_N_pow_mean,fact_beta_T_mean,fact_delta_T_mean,delta_N_mean,c_mean,cI_mean,k_mean,g_mean,mu_mean,P_N_mean,fact_P_T_mean,alpha_VLSG_mean,thresh_Weight_mean,beta_N_pow_mode,fact_beta_T_mode,fact_delta_T_mode,delta_N_mode,c_mode,cI_mode,k_mode,g_mode,mu_mode,P_N_mode,fact_P_T_mode,alpha_VLSG_mode,thresh_Weight_mode,beta_N_pow_sd,fact_beta_T_sd,fact_delta_T_sd,delta_N_sd,c_sd,cI_sd,k_sd,g_sd,mu_sd,P_N_sd,fact_P_T_sd,alpha_VLSG_sd,thresh_Weight_sd,Group,groupVsnaive
101,-4.62819,0,0,1.79767,3,20,3,0,0.001,7819.15,-2.47372,1.33,4.5,-4.61684,0,0,1.80518,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,-4.60786,0,0,1.87499,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,0.205087,0,0,0.242818,0,0,0,0,0,0,0,0,0,Naive,G_Naive
102,-4.80337,0,0,1.21268,3,20,3,0,0.001,7819.15,-2.47372,1.33,4.5,-4.85814,0,0,1.16888,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,-4.74135,0,0,1.2431,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,0.240239,0,0,0.139879,0,0,0,0,0,0,0,0,0,Naive,G_Naive
103,-5.73417,0,0,1.83525,3,20,3,0,0.001,7819.15,-2.47372,1.33,4.5,-5.73632,0,0,1.83523,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,-5.72886,0,0,1.80523,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,0.35411,0,0,0.339332,0,0,0,0,0,0,0,0,0,Naive,G_Naive
104,-5.78697,0,0,1.18965,3,20,3,0,0.001,7819.15,-2.47372,1.33,4.5,-5.78538,0,0,1.17408,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,-5.72234,0,0,1.20565,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,0.26966,0,0,0.173737,0,0,0,0,0,0,0,0,0,Naive,G_Naive
105,-6.04696,0,0,1.56668,3,20,3,0,0.001,7819.15,-2.47372,1.33,4.5,-6.03704,0,0,1.55789,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,-6.0485,0,0,1.52159,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,0.382105,0,0,0.329588,0,0,0,0,0,0,0,0,0,Naive,G_Naive
106,-5.43117,0,0,1.33778,3,20,3,0,0.001,7819.15,-2.47372,1.33,4.5,-5.42358,0,0,1.35041,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,-5.48642,0,0,1.33654,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,0.386838,0,0,0.188876,0,0,0,0,0,0,0,0,0,Naive,G_Naive
201,-6.49521,0,0,1.58209,3,20,3,0,0.001,7819.15,-2.47372,1.33,4.5,-6.44357,0,0,1.62831,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,-6.45765,0,0,1.56873,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,0.318497,0,0,0.298929,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
202,-7.17506,0,0,1.89693,3,20,3,0,0.001,7819.15,-2.47372,1.33,4.5,-7.1965,0,0,1.86987,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,-7.16531,0,0,1.84648,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,0.394323,0,0,0.461527,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
203,-6.95108,0,0,1.84612,3,20,3,0,0.001,7819.15,-2.47372,1.33,4.5,-6.94367,0,0,1.82475,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,-6.9319,0,0,1.78272,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,0.380239,0,0,0.463058,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
204,-7.02385,0,0,1.75325,3,20,3,0,0.001,7819.15,-2.47372,1.33,4.5,-7.00486,0,0,1.72767,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,-7.01805,0,0,1.68559,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,0.353076,0,0,0.323792,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
205,-7.10367,0,0,1.59645,3,20,3,0,0.001,7819.15,-2.47372,1.33,4.5,-7.09903,0,0,1.55263,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,-7.09913,0,0,1.54453,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,0.350181,0,0,0.325812,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
206,-7.21159,0,0,2.10046,3,20,3,0,0.001,7819.15,-2.47372,1.33,4.5,-7.16704,0,0,2.11005,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,-7.16151,0,0,2.07347,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,0.410563,0,0,0.50993,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
301,-7.63578,0,0,2.01016,3,20,3,0,0.001,7819.15,-2.47372,1.33,4.5,-7.66391,0,0,1.96335,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,-7.65955,0,0,1.89279,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,0.407888,0,0,0.508304,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
302,-8.23985,0,0,2.06839,3,20,3,0,0.001,7819.15,-2.47372,1.33,4.5,-8.26387,0,0,1.97362,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,-8.23067,0,0,1.94422,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,0.441597,0,0,0.526077,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
303,-7.82044,0,0,1.96622,3,20,3,0,0.001,7819.15,-2.47372,1.33,4.5,-7.83721,0,0,1.9287,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,-7.80666,0,0,1.87802,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,0.430143,0,0,0.525319,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
304,-7.45486,0,0,1.60255,3,20,3,0,0.001,7819.15,-2.47372,1.33,4.5,-7.49148,0,0,1.58256,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,-7.4645,0,0,1.54122,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,0.368744,0,0,0.352712,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
305,-7.81737,0,0,2.00202,3,20,3,0,0.001,7819.15,-2.47372,1.33,4.5,-7.84375,0,0,1.98701,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,-7.81227,0,0,1.94669,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,0.383103,0,0,0.505651,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
306,-7.9836,0,0,1.78803,3,20,3,0,0.001,7819.15,-2.47372,1.33,4.5,-7.90991,0,0,1.7948,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,-7.94331,0,0,1.69803,3,20,3,0,0.001,7621.25,-2.47396,1.33,4.5,0.412262,0,0,0.383827,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
