rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,Group,groupVsnaive
1,101,-4.63766200965392,0,0,2.29433836325878,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
2,101,-4.57853497548414,0,0,1.73294977472854,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
3,101,-4.25030810276766,0,0,2.32139648335006,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
4,101,-4.66007536069209,0,0,2.15809302772073,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
5,101,-4.85118462206743,0,0,1.81919412172542,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
6,101,-4.72664751141236,0,0,1.98003113554626,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
7,101,-4.38103289482315,0,0,1.40244232858697,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
8,101,-4.34569669314685,0,0,1.92147323462821,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
9,101,-4.54478720115218,0,0,2.23583594958296,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
10,101,-4.88347267948418,0,0,1.45731762844183,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
1,102,-4.54762165291686,0,0,1.14063021997231,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
2,102,-4.707605052934,0,0,1.07036348376305,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
3,102,-5.21150149698661,0,0,1.06004278423939,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
4,102,-4.32495006091718,0,0,0.870968492541413,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
5,102,-4.64393198329546,0,0,0.961672380809462,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
6,102,-5.23692659544418,0,0,1.01893186106198,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
