parameter,value,se_sa,rse_sa
beta_N_pow_pop,-6.73138610884163,0.327291151209911,4.86216576969216
fact_beta_T_pop,0,,
fact_delta_T_pop,0,,
delta_N_pop,1.66453658676443,0.38147901609838,22.9180313086364
c_pop,3,,
cI_pop,20,,
k_pop,3,,
g_pop,0,,
mu_pop,0.001,,
P_N_pop,7621.25302863582,2991.30564711506,39.2495254504166
fact_P_T_pop,-2.47396197706604,0.35869464222472,14.4987936576984
alpha_VLSG_pop,1.33,,
thresh_Weight_pop,4.5,,
omega_beta_N_pow,1.13174596937737,0.232678788425492,20.5592769686205
omega_delta_N,0.265209463673878,0.237069030987408,89.3893557580308
a1,1.04000469782983,0.107106470620877,10.2986525776638
a2,1.09042320495969,0.191257471602721,17.5397470204966
a3,1.19762467991201,0.10762815901218,8.9868020271666
a4,1.393411762844,0.20209752754005,14.5037908340578
