time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode
0,101,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8
1,101,3.31265,382.112,2189.33,576.619,576055,13.5124,12626.1,1174.51,3192.35,8007.08,8.68495e+6,0.818663,2.70068,381.856,2179.13,560.188,559639,13.5124,12443.4,1186.71,3236.31,7923.69,8.60402e+6,0.81866,2.28852,381.658,2090.9,544.797,544261,13.512,12288.4,1197.96,3172.54,7838.84,8.52263e+6,0.818632
2,101,3.2831,19.0315,473.248,197.041,196851,2.67886e-8,10852.4,535.428,1529.99,4666.74,5.17269e+6,1.62256e-9,2.6767,19.0174,468.288,190.584,190400,2.67872e-8,10677.1,532.663,1530.98,4569.27,5.07207e+6,1.62246e-9,2.26865,19.0065,426.068,178.342,178169,2.67932e-8,10551.2,522.06,1449.55,4378.1,4.87011e+6,1.62282e-9
3,101,3.27526,0.949258,83.9163,41.3261,41286.9,1.41921e-14,10034.3,242.042,712.91,2248.76,2.48711e+6,8.59553e-16,2.67036,0.948224,82.4851,39.7578,39719.8,1.43503e-14,9872.71,237.659,703.891,2173.52,2.40753e+6,8.6913e-16,2.2636,0.947379,70.5917,35.4398,35405.7,8.16244e-14,9783.56,226.092,645.275,2016.33,2.23893e+6,4.94364e-15
4,101,3.27372,0.0475868,14.1787,7.46007,7453.04,4.41613e-20,9670.37,107.818,323.604,1036.92,1.14353e+6,2.67475e-21,2.66912,0.047471,13.8377,7.13232,7125.53,5.26016e-20,9519.38,104.537,315.407,989.314,1.0927e+6,3.18595e-21,2.26267,0.0473611,11.0877,6.00568,5999.94,-9.6552e-22,9456.08,96.5916,280.327,889.392,984935,-5.84723e-23
6,101,3.2734,0.000130315,0.392238,0.213779,213.579,-1.01192e-33,9437.04,21.2441,64.5627,209.138,230152,-6.12886e-35,2.66887,0.000127464,0.37717,0.201537,201.346,-5.00481e-34,9296.47,20.0984,61.3774,194.583,214467,-3.03141e-35,2.26249,0.000123937,0.263446,0.149145,149.003,2.36711e-36,9257.1,17.5291,51.4058,164.731,182078,1.43365e-37
9,101,3.27339,7.70423e-8,0.0017858,0.000978326,0.977411,-2.60526e-47,9384.9,1.85143,5.64252,18.3236,20154.8,-1.57787e-48,2.66887,6.30283e-8,0.00167892,0.000901924,0.901071,-1.33015e-47,9247.97,1.6891,5.17195,16.4357,18106.7,-8.05649e-49,2.26249,4.12745e-8,0.000951477,0.00054276,0.542244,2.98172e-50,9216.46,1.35144,3.97171,12.754,14091.4,1.80593e-51
14,101,3.27339,7.83904e-12,2.23115e-7,1.22257e-7,0.000122142,-1.20229e-78,9380.01,0.0316871,0.0965969,0.313764,345.105,-7.29188e-80,2.66887,5.86243e-12,2.02006e-7,1.08543e-7,0.000108441,-5.56561e-79,9243.59,0.0272149,0.0833506,0.264934,291.857,-3.36732e-80,2.26249,2.29046e-12,8.07548e-8,4.60844e-8,4.60406e-5,-1.19938e-83,9213.12,0.0188612,0.0554405,0.178063,196.727,-7.26216e-85
20,101,3.27339,1.62075e-16,4.61553e-12,2.52911e-12,2.52674e-9,-2.25165e-110,9379.93,0.000240377,0.000732784,0.00238022,2.61798,-1.36516e-111,2.66887,1.15837e-16,3.99443e-12,2.14632e-12,2.14429e-9,5.03593e-110,9243.52,0.000192024,0.00058811,0.00186934,2.0593,3.04887e-111,2.26249,2.97365e-17,1.05042e-12,5.99445e-13,5.98875e-10,7.26003e-112,9213.07,0.000112014,0.000329253,0.00105749,1.16833,4.39536e-113
0,102,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8
