"Time";"AnimalID";"Group";"log10ECL";"ECL"
0;101;"Naive";5.17479548111205;149553.121147568
4;101;"Naive";5.60247520200562;400382.606034355
9;101;"Naive";5.55591778422618;359681.237881246
20;101;"Naive";5.7567222366176;571113.250753136
0;102;"Naive";6.19160588607979;1554554.26310221
4;102;"Naive";5.59468954062957;393268.843128544
9;102;"Naive";4.89656482849568;78807.0060354501
20;102;"Naive";4.86959680203918;74062.2330018594
0;103;"Naive";5.64742146318119;444039.355045263
4;103;"Naive";6.08505776773143;1216347.78252932
9;103;"Naive";5.1389833124655;137715.655136922
20;103;"Naive";4.64566389098089;44224.5977049307
0;104;"Naive";5.07659455024537;119287.393815598
4;104;"Naive";5.36108286132405;229658.678416249
9;104;"Naive";5.22391802982114;167462.6771593
20;104;"Naive";5.23001018054212;169828.346241651
0;105;"Naive";5.06840848630347;117059.990977212
4;105;"Naive";4.9380711946042;86710.4009885237
9;105;"Naive";5.00318060971253;100735.050783642
20;105;"Naive";5.04915609998841;111984.031927084
0;106;"Naive";5.30605560261789;202327.820191734
4;106;"Naive";4.97524449795054;94459.2510798303
9;106;"Naive";5.45934248288151;287966.841449009
20;106;"Naive";4.96476463194962;92207.1570452163
0;201;"Convalescent";5.75673439947435;571129.245582032
4;201;"Convalescent";5.56357390128257;366078.228590921
9;201;"Convalescent";5.36205047444364;230170.931043641
20;201;"Convalescent";5.15541045941355;143024.506990028
0;202;"Convalescent";5.91906473913937;829974.480412391
4;202;"Convalescent";5.21072500012601;162451.97668483
9;202;"Convalescent";5.30513795606335;201900.761085176
20;202;"Convalescent";5.17274613457422;148849.073094474
0;203;"Convalescent";5.70042344296815;501676.136233729
4;203;"Convalescent";5.46145258685948;289369.388718313
9;203;"Convalescent";5.63014941574875;426726.305524319
20;203;"Convalescent";5.14608457077382;139985.989271383
0;204;"Convalescent";5.14312366788193;139034.848467469
4;204;"Convalescent";5.38784723569445;244257.122026961
9;204;"Convalescent";4.85883830347354;72250.0752030388
20;204;"Convalescent";5.53303495078413;341220.370961513
0;205;"Convalescent";5.58566331988249;385179.637301911
4;205;"Convalescent";5.28495195806039;192731.170091752
9;205;"Convalescent";5.54106806995939;347590.637443762
20;205;"Convalescent";4.84061000597967;69280.3393017298
0;206;"Convalescent";6.32375692182193;2107448.26371648
4;206;"Convalescent";5.44899262477241;281185.307885396
9;206;"Convalescent";5.71381847432106;517390.528723509
20;206;"Convalescent";4.7568247249554;57124.8042598838
0;301;"Conv-CD40";5.7049632996467;506947.866487103
4;301;"Conv-CD40";5.29836283902475;198775.492891511
9;301;"Conv-CD40";5.8721867317154;745052.251933191
20;301;"Conv-CD40";5.1042420452249;127128.24312946
0;302;"Conv-CD40";5.01939724853432;104567.626047208
4;302;"Conv-CD40";5.39733550719806;249652.263045804
9;302;"Conv-CD40";5.27168871198207;186934.177728154
20;302;"Conv-CD40";4.67320357592082;47119.8149184827
0;303;"Conv-CD40";5.45171116189697;282950.953577782
4;303;"Conv-CD40";5.57898461604357;379301.548786728
9;303;"Conv-CD40";5.03739052410497;108990.971596798
20;303;"Conv-CD40";5.15266075470746;142121.818139983
0;304;"Conv-CD40";5.98608703420035;968471.922125203
4;304;"Conv-CD40";5.28494755722282;192729.217098306
9;304;"Conv-CD40";5.14257758456249;138860.135454059
20;304;"Conv-CD40";5.2211196807575;166387.11086914
0;305;"Conv-CD40";5.32851313167259;213065.499074384
4;305;"Conv-CD40";4.80920028763587;64446.6411575563
9;305;"Conv-CD40";5.29301314898523;196341.972172235
20;305;"Conv-CD40";4.42289506839699;26478.603013401
0;306;"Conv-CD40";6.04508812054784;1109399.89527883
4;306;"Conv-CD40";5.80895384474341;644100.809158625
9;306;"Conv-CD40";5.41190664856853;258170.519445232
20;306;"Conv-CD40";4.99774648943305;99482.4539247666
